"(169, 0.9718437194824219)","(725, 0.9456338882446289)","(1253, 0.9416426420211792)","(307, 0.9406546354293823)","(182, 0.9398403167724609)"
"(170, 0.9672631025314331)","(1577, 0.9465672969818115)","(804, 0.9420937299728394)","(895, 0.9311460852622986)","(1161, 0.9294085502624512)"
"(171, 0.838405430316925)","(919, 0.7913585305213928)","(107, 0.790507435798645)","(1332, 0.7838051915168762)","(785, 0.7814767956733704)"
"(1784, 0.8977628946304321)","(172, 0.8911697268486023)","(787, 0.8750101327896118)","(1708, 0.8699349164962769)","(1124, 0.8663730621337891)"
"(173, 0.9781535863876343)","(317, 0.9745205640792847)","(1524, 0.973203182220459)","(419, 0.9696349501609802)","(1173, 0.969550371170044)"
"(174, 0.8705157041549683)","(346, 0.8384346961975098)","(1338, 0.828046441078186)","(96, 0.8154866099357605)","(1136, 0.8044586181640625)"
"(175, 0.9260378479957581)","(1874, 0.9214009046554565)","(121, 0.9136181473731995)","(711, 0.9122720956802368)","(491, 0.9013732671737671)"
"(176, 0.8696659207344055)","(672, 0.797441840171814)","(11, 0.7857240438461304)","(1026, 0.7814585566520691)","(394, 0.771594762802124)"
"(177, 0.9375427961349487)","(915, 0.8916206359863281)","(89, 0.8885473608970642)","(685, 0.8814217448234558)","(620, 0.8773578405380249)"
"(463, 0.9423184990882874)","(48, 0.9336669445037842)","(761, 0.933660626411438)","(1520, 0.9303900003433228)","(1428, 0.9249786138534546)"
"(179, 0.9320530891418457)","(9, 0.8603032231330872)","(180, 0.8221250772476196)","(1683, 0.8203127384185791)","(1432, 0.7955583333969116)"
"(180, 0.8599279522895813)","(389, 0.798841118812561)","(179, 0.789870023727417)","(1823, 0.7862724661827087)","(1893, 0.7507308721542358)"
"(181, 0.7685209512710571)","(951, 0.7433030009269714)","(1026, 0.7160056233406067)","(134, 0.6849973797798157)","(798, 0.6786869764328003)"
"(182, 0.8153209686279297)","(1715, 0.7887064218521118)","(228, 0.7743005752563477)","(287, 0.7629522085189819)","(1722, 0.7610350847244263)"
"(462, 0.9141106605529785)","(1602, 0.9092905521392822)","(219, 0.9058775901794434)","(535, 0.9058464765548706)","(183, 0.9055408835411072)"
"(184, 0.7961333394050598)","(1403, 0.6911532878875732)","(676, 0.6565523743629456)","(940, 0.6090966463088989)","(308, 0.6088097095489502)"
"(185, 0.8486509323120117)","(600, 0.802374005317688)","(1604, 0.7876068353652954)","(54, 0.7849829196929932)","(841, 0.7848508358001709)"
"(383, 0.8583316802978516)","(186, 0.8559507131576538)","(400, 0.8380019068717957)","(1916, 0.8314098119735718)","(1914, 0.8296074867248535)"
"(3, 0.9133535623550415)","(1502, 0.9037541151046753)","(187, 0.9018864631652832)","(1319, 0.9014012217521667)","(1395, 0.8977411985397339)"
